GSIName,OrigName,SrcName,Type,Depth_m,Dpth-Rck_m,DTRConfid,DrillDate,Easting,Northing,Loc_Acc,Townland,Town,County,SixInShtNo,SourceUse,YldClass,ProdClass,Yield_m3d,Abstr_m3d,Ovrflw_m3d,AbstrDDm,SC_m3dm,cas1dia_mm,Wtrstrk1_m,Wtrstrk2_m,Wtrstrk3_m,Wtrstrk4_m,Wtrloss1_m,GenComms,DrillComms,CasingComs,DEPTH
2629SEW018,,,Dug well,8.1,,Bedrock Not Met,,279350,291100,to 50m,NEWCASTLE,,Meath,2,Domestic use only,,,,,,,,,,,,,,hard water,,,1to50m
2629SEW019,,,Borehole,50.0,6.0,Bedrock Met,,278370,291770,to 50m,LISNAGROW,,Meath,2,Domestic use only,Moderate,,43.6,,,,,,,,,,,,,,1to50m
2629SEW020,,,Dug well,3.0,,Bedrock Not Met,,277610,292100,to 50m,AGHALOAGHAN,,Meath,2,Domestic use only,,,,,,,,,,,,,,"hard water, spring",,,1to50m
2629SEW021,,,Borehole,44.0,,Bedrock Met,,280210,294320,to 50m,KILNALUN,,Meath,2,Domestic use only,Poor,,32.7,,,,,,,,,,,hard water,,,1to50m
2629SEW022,,Meath Co.Co.,Dug well,1.0,,DTB Unknown,,280850,295000,to 50m,CORNAHOOVA,Corratober Bridge,Meath,2,Industrial use,,,,,,,,,,,,,,water at surface,,water at surface,1to50m
2629SEW023,,,Dug well,3.0,,DTB Unknown,,282060,293890,to 50m,KILNALUN,,Meath,2,Domestic use only,,,,,,,,,,,,,,hard water,,,1to50m
2629SEW024,,,Borehole,13.0,4.0,Bedrock Met,,282180,293830,to 50m,DUNHEEDA,,Meath,2,Domestic use only,Excellent,II,1853.0,1119.0,,46.7,46.7,,,,,,,rotary drill,,,1to50m
2629SEW026,,,Dug well,5.0,,Bedrock Met,,280180,295440,to 50m,DRUMGILL,,Meath,2,Agri & domestic use,,,,,,,,,,,,,,hard water,,,1to50m
2629SEW027,,MEATH CO.CO,Dug well,12.3,,DTB Unknown,,281840,294750,to 50m,CORRATOBER,,Meath,2,Public supply (Co Co),,,,,,,,,,,,,,,,,1to50m
2629SEW028,,,Borehole,40.0,18.3,Bedrock Met,,280010,296020,to 50m,DRUMGILL,,Meath,2,Industrial use,Excellent,,7200.0,,,,,,,,,,,,,Used to pump out mine shaft,1to50m
2629SEW029,,,Dug well,12.5,,Bedrock Not Met,,280140,295750,to 50m,DRUMGILL,,Meath,2,Domestic use only,,,,,,,,,,,,,,hard water,,,1to50m
2629SEW052,,PRIVATE GROUP SCHEME,Borehole,,,,,285740,290180,to 50m,DRUMGILL,,Meath,6,Group Scheme,,,,,,,,,,,,,,,,,1to50m
2629SEW053,,PRIVATE GROUP SCHEME,Borehole,18.3,12.2,Bedrock Met,,284940,294130,to 50m,MEATH HILL,,Meath,3,Group Scheme,Excellent,,1000.0,,,,,,,,,,,"Artesian well, 10,000g/hr. from gravels, sands & clays.",,,1to50m
2629SEW054,,,Dug well,7.6,6.7,Bedrock Met,,284410,291450,to 50m,CLOGHREAGH,,Meath,3,,Failure,,,0.0,,,,,,,,,,No water,,,1to50m
2629SEW066,TW2,KINGSCOURT WATER SUPPLY,Borehole,91.4,3.5,Bedrock Met,15/12/1994,280850,293150,to 50m,ROLAGH,NOBBER,Meath,2,Public supply (Co Co),Excellent,I,1211.0,900.0,,,84.2,150.0,26.0,34.0,51.0,77.0,,"Inflows at 26, 29, 34, 51, 56, 77m.",,800 safe yield. 1211 m3/d during 72 hr PT.,1to50m
2629SEW067,TW3,KINGSCOURT WATER SUPPLY,Borehole,137.0,9.5,Bedrock Met,01/02/1995,280920,293970,to 50m,CORNAHOOVA,,Meath,2,Public supply (Co Co),Excellent,II,1014.0,900.0,,24.2,42.0,150.0,27.0,40.0,73.0,133.0,,"Inflows at 27, 40, 73, 123 & 133m.  pump test throttled back as interfered with domestic well.  T=28m2/d; S= 0.0004.",,72hr PT pumping rate reduced as it affected nearby domestic well,1to50m
2629SEW068,TW4,KINGSCOURT WATER SUPPLY,Borehole,91.0,2.5,Bedrock Met,01/02/1995,281250,292450,to 50m,CARRICKLECK,,Meath,2,Public supply (Co Co),Good,,200.0,200.0,,,,150.0,52.5,68.0,,,,"Inflows at 52.5, 68m.SANDSTN",,estimated safe yield. No PT carried out.,1to50m
2629SEW070,,,Borehole,33.5,7.6,Bedrock Presumed,,287690,292700,to 50m,BALRATH,,Meath,3,Agri & domestic use,Good,III,218.0,,,,10.5,150.0,21.3,32.0,,,,,,dd = 20.7m         4 hr trest,1to50m
2629SEW071,TP 1,,Dug well,2.0,,Bedrock Not Met,22/02/1999,279640,291020,to 50m,BALLYNALURGAN,,Meath,2,Other,,,,,,,,,,,,,,,,,1to50m
2629SEW072,TP 2,,Dug well,2.8,,Bedrock Not Met,22/02/1999,279800,291380,to 50m,BALLYNALURGAN,,Meath,2,Other,,,,,,,,,,,,,,,,,1to50m
2629SEW073,TP 3,,Dug well,2.8,,Bedrock Not Met,22/02/1999,280320,291210,to 50m,BALLYNALURGAN,,Meath,2,Other,,,,,,,,,,,,,,,,,1to50m
2629SEW074,TP 4,,Dug well,2.8,,Bedrock Not Met,22/02/1999,280100,291960,to 50m,BALLYNALURGAN,,Meath,2,Other,,,,,,,,,,,,,,,,,1to50m
2629SEW075,,,Borehole,36.6,3.0,Bedrock Met,15/08/1996,286010,293630,to 50m,MULLAGHMORE,,Meath,3,Agri & domestic use,Good,,218.0,,,,,,,,,,,,,yield estimated by Dunnes W S Ltd,1to50m
2629SWW002,,MEATH CO. CO. PUMP,Borehole,22.9,8.2,Bedrock Met,01/03/1950,270450,292990,to 50m,TEEVURCHER,,Meath,1,Public supply (Co Co),Poor,,27.3,,,,,,,,,,,,,,1to50m
2629SWW003,,MEATH CO. CO. PUMP,Unknown,17.7,,DTB Unknown,,270490,290860,to 50m,FERTAGH,,Meath,1,Public supply (Co Co),Moderate,,43.6,,,,,,,,,,,,,,1to50m
2629SWW004,,MEATH CO. CO. PUMP,Unknown,34.7,32.9,DTB Unknown,,268140,291260,to 50m,CORMEEN,,Meath,1,,Moderate,,43.6,,,,,,,,,,,,,,1to50m
2629SWW005,,MEATH CO. CO. PUMP,Dug well,3.2,,Bedrock Not Met,08/01/1976,271820,290410,to 50m,GOLASHANE,,Meath,4,Public supply (Co Co),,,,,,,,,,,,,,,,,1to50m
2629SWW006,,,Dug well,6.1,,Bedrock Not Met,,272030,290260,to 50m,GOLASHANE,,Meath,4,,,,,,,,,,,,,,,,,,1to50m
2629SWW019,,,Borehole,91.4,4.6,Bedrock Presumed,,271870,290290,to 50m,GOLASHANE,,Meath,4,Agri & domestic use,Poor,IV,21.8,,,,7.2,150.0,,,,,,,,dd = 3.05m         2 hr test,1to50m
2629SWW020,,,Borehole,73.1,6.1,Bedrock Presumed,,270530,291020,to 50m,CORNAVILLE NORTH,,Meath,1,Agri & domestic use,Poor,V,13.1,,,,1.1,150.0,60.9,73.1,,,,,,dd = 12m          3 hr test,1to50m
2923NEW001,,,Dug well,4.6,,Bedrock Not Met,,309280,248550,to 50m,MASSPOOL,,Meath,45,,,,,,,,,,,,,,,Goes dry.,,,1to50m
2923NEW002,,,Borehole,27.4,,DTB Unknown,,309020,247680,to 50m,NEWTOWN COMMONS,,Meath,45,,Poor,,32.7,,,,,,,,,,,,,,1to50m
2923NEW003,,,Dug well,12.8,3.0,,,309060,247620,to 50m,NEWTOWN COMMONS,,Meath,45,,,,,,,,,,,,,,,Goes low,,,1to50m
2923NEW004,,,Borehole,18.3,,Bedrock Not Met,,308510,247650,to 50m,NEWTOWN COMMONS,,Meath,45,,,,,,,,,,,,,,,Very gravelly,,,1to50m
2923NWW001,,,Borehole,16.8,15.0,Bedrock Met,,292960,245480,to 50m,WARRENSTOWN,,Meath,50,Domestic use only,,,,,,,,,,,,,,"rock near bottom of well, irony water",,,1to50m
2923NWW002,,,Dug well,7.6,,DTB Unknown,,293270,245530,to 50m,BARSTOWN,,Meath,50,Domestic use only,,,,,,,,,,,,,,"irony water, supply ok",,,1to50m
2923NWW003,,,Dug well,4.6,,Bedrock Not Met,,293290,245400,to 50m,WARRENSTOWN,,Meath,50,Domestic use only,,,,,,,,,,,,,,"limey, supply ok",,,1to50m
2923NWW004,,,Dug well,3.7,,Bedrock Not Met,,293540,245340,to 50m,BARSTOWN,,Meath,50,Domestic use only,,,,,,,,,,,,,,"irony, supply good, very little lime",,,1to50m
2923NWW005,,,Dug well,6.1,,Bedrock Not Met,,293990,245180,to 50m,CULLENDRAGH,,Meath,50,Domestic use only,,,,,,,,,,,,,,"supply poor, limey",,,1to50m
2923NWW006,,,Borehole,53.3,18.3,Bedrock Met,,294020,245020,to 50m,BARSTOWN,,Meath,50,Domestic use only,,,,,,,,,,,,,,"iron, lime",,,1to50m
2923NWW007,,MEATH CO.CO PUMP,Dug well,10.5,,Bedrock Not Met,,294350,245110,to 50m,CULLENDRAGH,,Meath,50,Public supply (Co Co),Poor,,6.5,,,,,,,,,,,,,,1to50m
2923NWW008,,,Borehole,61.0,24.3,Bedrock Met,,294420,245320,to 50m,CULLENDRAGH,,Meath,50,Domestic use only,,,,,,,,,,,,,,"supply good, lime, iron",,,1to50m
