GSIName,OrigName,SrcName,Type,Depth_m,Dpth-Rck_m,DTRConfid,DrillDate,Easting,Northing,Loc_Acc,Townland,Town,County,SixInShtNo,SourceUse,YldClass,ProdClass,Yield_m3d,Abstr_m3d,Ovrflw_m3d,AbstrDDm,SC_m3dm,cas1dia_mm,Wtrstrk1_m,Wtrstrk2_m,Wtrstrk3_m,Wtrstrk4_m,Wtrloss1_m,GenComms,DrillComms,CasingComs,DEPTH
2623NEW351,BH289,Westmeath County Council,Borehole,22.0,,Bedrock Not Met,15/02/2001,277140,240300,to 10m,JOHNSTOWN,,Meath,48,,,,,,,,,,5.0,6.2,,,,"Drilled by Norwest Holst Soil Engineering Ltd
Consultants MCOS",,,1to50m
2623NEW352,BH290,Westmeath County Council,Borehole,30.5,29.1,Bedrock Met,20/02/2001,277120,240290,to 10m,JOHNSTOWN,,Meath,48,,,,,,,,,,4.2,,,,,"Drilled by Norwest Holst Soil Engineering Ltd
Consultants MCOS",,,1to50m
2623NEW353,BH291,Westmeath County Council,Borehole,20.0,,Bedrock Not Met,22/02/2001,277100,240270,to 10m,JOHNSTOWN,,Meath,48,,,,,,,,,,2.5,4.7,,,,"Drilled by Norwest Holst Soil Engineering Ltd
Consultants MCOS",,,1to50m
2623NEW354,P100,Westmeath County Council,Borehole,3.1,,Bedrock Not Met,18/05/2000,277110,240280,to 10m,JOHNSTOWN,,Meath,48,,,,,,,,,,1.1,,,,,"Driller Geotech by shell & auger
Consultants MCOS",N4 investigation,,1to50m
2623NEW355,P100A,Westmeath County Council,Borehole,27.0,26.8,Bedrock Met,28/05/2000,277110,240280,to 10m,JOHNSTOWN,,Meath,48,,,,,,,,,,,,,,,"Drilled by Geotech
Consultants MCOS",N4 investigation,,1to50m
2623NEW356,P101,Westmeath County Council,Borehole,5.7,,Bedrock Not Met,17/05/2000,277130,240290,to 10m,JOHNSTOWN,,Meath,48,,,,,,,,,,4.8,,,,,"Driller Geotech by shell & auger
Consultants MCOS",N4 investigation,,1to50m
2623NEW357,P101A,Westmesth County Council,Borehole,21.8,,Bedrock Not Met,07/06/2000,277120,240290,to 10m,JOHNSTOWN,,Meath,48,,,,,,,,,,,,,,,"Drilled by Geotech by wireline rotary
Consultants MCOS",N4 investigation,,1to50m
2623NEW358,P102,Westmeath County Council,Borehole,16.6,,Bedrock Not Met,22/05/2000,277160,240300,to 10m,JOHNSTOWN,,Meath,48,,,,,,,,,,3.2,9.5,,,,"Drilled by Geotech by shell & auger/rotary
Consultants MCOS",,,1to50m
2623NEW359,P102A,Westmeath County Council,Borehole,27.0,,Bedrock Not Met,29/05/2000,277170,240290,to 10m,JOHNSTOWN,,Meath,48,,,,,,,,,,2.0,14.5,,,,"Drilled by Geotech by rotary ODEX
Consultants MCOS",N4 investigation,,1to50m
2625NWW001,PW 1,Meath Co. Council,Borehole,61.0,6.5,Bedrock Met,01/03/1985,272490,263270,to 10m,TOWN PARKS,ATHBOY,Meath,29,Public supply (Co Co),Excellent,I,1080.0,1080.0,,1.1,800.0,,,,,,,Hard black limestone from 10m,,,1to50m
2623NEW001,,,Dug well,6.0,,Bedrock Not Met,,277440,248700,to 20m,KILBALLYPORTER,,Meath,42,Other,,,,,,,,,,,,,,EIS (environmental impact state) survey REEF LIMESTONE,,,1to50m
2623NEW002,,,Borehole,55.0,10.0,,01/01/1991,277440,248730,to 20m,KILBALLYPORTER,,Meath,42,Agri & domestic use,,,,,,,,,,,,,,Artesian well initally.REEFL/S,,,1to50m
2623NEW003,,,Borehole,17.0,,DTB Unknown,,277000,248630,to 20m,CORBALLIS,,Meath,42,Domestic use only,,,,,,,,,,,,,,EIS well survey REEF LS,,,1to50m
2623NEW004,,,Borehole,15.0,,DTB Unknown,,276910,248650,to 20m,TOBERTYNAN,,Meath,42,Domestic use only,,,,,,,,,,,,,,EIS well survey REEF LS,,,1to50m
2623NEW005,,,Borehole,27.0,,DTB Unknown,,276860,248640,to 20m,TOBERTYNAN,,Meath,42,Domestic use only,,,,,,,,,,,,,,EIS well survey Reef Lst,,,1to50m
2623NEW006,,,Borehole,30.0,4.0,Bedrock Met,,276840,248580,to 20m,CORBALLIS,,Meath,42,,,,,,,,,,,,,,,"artesian initially, EIS well survey REEF LS",,,1to50m
2623NEW007,,,Borehole,43.0,,DTB Unknown,,276650,248450,to 20m,CORBALLIS,,Meath,42,Agri & domestic use,,,,,,,,,,,,,,EIS well survey REEF LS,,,1to50m
2623NEW008,,,Borehole,69.0,3.0,Bedrock Met,19/12/1972,276570,248550,to 20m,TOBERTYNAN,,Meath,42,Agri & domestic use,Poor,V,40.0,,,20.4,2.0,,,,,,,"drilled 1965,  EIS well survey Jan '91REEF LS",,,1to50m
2623NEW009,,,Borehole,30.0,,DTB Unknown,01/01/1991,276550,248480,to 20m,CORBALLIS,,Meath,42,Domestic use only,,,,,,,,,,,,,,EIS well survey REEF,,,1to50m
2623NEW010, Ld.Comm well no.1155,,Borehole,61.0,30.0,Bedrock Met,01/01/1991,276250,248100,to 20m,CORBALLIS,,Meath,42,Agri & domestic use,,,,,,,,,,,,,,"EIS well survey, Ld.Comm well no.1155",,,1to50m
2623NEW011,ILC 1154,,Borehole,11.6,11.6,Bedrock Presumed,06/12/1965,276000,248060,to 20m,TOBERTYNAN,,Meath,42,Agri & domestic use,Poor,IV,33.0,33.0,,1.8,18.3,,,,,,,Ld.Comm well no.1154REEF,,,1to50m
2623NEW012,,,Dug well,8.0,8.0,Bedrock Presumed,01/01/1991,275950,247940,to 20m,CORBALLIS,,Meath,42,Domestic use only,,,,,,,,,,,,,,EIS well survey,,,1to50m
2623NEW015,,,Borehole,57.0,55.0,Bedrock Met,,278650,248300,to 20m,STRANY BEG,,Meath,42,Agri & domestic use,,,,,,,,,,,,,,EIS well survey,,,1to50m
2623NEW016,,,Dug well,,,,,278400,248570,to 20m,CHERRYVALLEY,,Meath,42,Domestic use only,,,,,,,,,,,,,,EIS well survey REEF,,,1to50m
2623NEW017,,,Dug well,3.0,,Bedrock Not Met,,278350,248650,to 20m,CHERRYVALLEY,,Meath,42,Domestic use only,,,,,,,,,,,,,,"artesian initally, EIS well survey REEF",,,1to50m
2623NEW018,,,Borehole,10.0,,DTB Unknown,01/01/1991,277880,248850,to 20m,KILBALLYPORTER,,Meath,42,Domestic use only,,,,,,,,,,,,,,EIS well survey,,,1to50m
2623NEW019,,SCHOOL,Borehole,,,,01/01/1991,277940,248990,to 20m,KILBALLYPORTER,,Meath,42,Domestic use only,,,,,,,,,,,,,,EIS well survey REEF,,,1to50m
2623NEW020,,,Borehole,15.0,,DTB Unknown,,277930,249150,to 20m,KILBALLYPORTER,,Meath,42,Agri & domestic use,,,,,,,,,,,,,,EIS well survey,,,1to50m
2623NEW021,,,Borehole,10.0,,Bedrock Not Met,01/01/1991,278120,249150,to 20m,KILBALLYPORTER,,Meath,42,Domestic use only,,,,,,,,,,,,,,"artesian initally, EIS well survey",,,1to50m
2623NEW022,,,Borehole,10.0,8.5,Bedrock Met,01/01/1991,278300,249300,to 20m,TROMMON,,Meath,42,Domestic use only,,,,,,,,,,,,,,EIS well survey,,,1to50m
2623NEW023,,,Borehole,30.0,6.1,Bedrock Met,01/01/1991,278390,249360,to 20m,CHERRYVALLEY,,Meath,42,Agri & domestic use,,,,,,,,,,,,,,EIS well survey,,,1to50m
2623NEW024,,,Borehole,50.0,15.2,Bedrock Met,,278550,249600,to 20m,TROMMON,,Meath,42,Domestic use only,,,,,,,,,,,,,,EIS well survey,,,1to50m
2623NEW025,,,Borehole,16.0,,DTB Unknown,,278340,249590,to 20m,TROMMON,,Meath,42,Agri & domestic use,,,,,,,,,,,,,,EIS well survey,,,1to50m
2623NEW026,,BRIDE'S WELL,Spring,,,,01/01/1982,289270,242470,to 20m,CALGATH,,Meath,49,Domestic use only,Low Spring,,20.0,,,,,,,,,,,EIS well survey,,,1to50m
2623NEW026,,,Borehole,40.0,30.5,Bedrock Met,,276130,249100,to 20m,TOBERTYNAN,,Meath,42,Domestic use only,Poor,,20.0,,,,,,,,,,,EIS well survey,,,1to50m
2623NEW099,,MEATH CO.CO.,Borehole,25.8,21.7,,01/12/1979,282500,249600,to 20m,BALLINRIG,,Meath,42,,Poor,III,30.0,,,1.5,20.0,,,,,,,"Solmec BH No. . Drillers log SO3 = 0.1 gm/l. See Sheet.""",,,1to50m
2623NEW100,TW 1,MEATH CO. CO.,Borehole,61.0,11.5,Bedrock Met,01/03/1985,284380,249350,to 20m,CLONMAHON,,Meath,43,,Good,III,241.0,,,22.6,10.7,150.0,9.5,54.5,,,,TW No. 1. Major inflow 50-55m - Well collapsed prior to test,,,1to50m
2623NEW101,TW 2,MEATH CO. CO.,Borehole,61.0,16.0,Bedrock Met,01/03/1985,283200,248650,to 20m,CLONDOOGAN,,Meath,43,,Good,IV,130.0,130.0,,21.3,6.1,,,,,,,TW No. 2,,,1to50m
2623NEW102,TW 3,MEATH CO. CO.,Borehole,61.0,14.0,Bedrock Met,01/03/1985,281840,247670,to 20m,CLONDOOGAN,,Meath,42,,Good,III,196.0,,,17.2,11.4,,,,,,,SUMMERHILL TW No. 3.,,,1to50m
2623NEW157,,,Borehole,18.3,,Bedrock Not Met,01/09/1977,282340,248610,to 20m,CLONDOOGAN,,Meath,42,,,,,,,,,,,,,,,Black coating on foot valve (Manganese?). O.D. measured. Geoex well survey,,,1to50m
2623NEW158,,,Dug well,3.4,,Bedrock Not Met,01/09/1977,282210,248280,to 20m,ISAACSTOWN,,Meath,42,,,,,,,,,,,,,,,Seasonal O.D. measured. Geoex well survey,,,1to50m
2623NEW159,,,Dug well,3.2,,Bedrock Not Met,,281880,248600,to 20m,ISAACSTOWN,,Meath,42,,,,,,,,,,,,,,,Traces of iron-(liners?).  O.D. measured. Geoex well survey,,,1to50m
2623NEW160,,,Dug well,4.3,3.6,Bedrock Presumed,01/09/1977,281800,249600,to 20m,ISAACSTOWN,,Meath,43,,,,,,,,,,,,,,,Dug in clayey gravel.  O.D. measured.,,,1to50m
2623NEW161,,,Dug well,3.9,,Bedrock Not Met,,281750,248560,to 20m,ISAACSTOWN,,Meath,42,,,,,,,,,,,,,,,O.D. measured. Geoex well survey,,,1to50m
2623NEW162,,,Dug well,3.6,,Bedrock Not Met,,280870,248790,to 20m,ISAACSTOWN,,Meath,42,,,,,,,,,,,,,,,O.D. measured. Geoex well survey,,,1to50m
2623NEW163,,,Dug well,7.0,,Bedrock Not Met,,280870,248790,to 20m,KILL BEG,,Meath,42,,,,,,,,,,,,,,,O.D. measured. Geoex well survey,,,1to50m
2623NEW164,,,Unknown,3.0,,Bedrock Not Met,,281410,248610,to 20m,KILL BEG,,Meath,42,,,,,,,,,,,,,,,O.D. measured. Geoex well survey,,,1to50m
2623NEW165,,,Unknown,2.7,,Bedrock Not Met,,283030,248730,to 20m,CLONDOOGAN,,Meath,42,,,,,,,,,,,,,,,Rises up to 6ft during Winter.  O.D. measured. Geoex well survey,,,1to50m
2623NEW166,,,Dug well,2.1,,Bedrock Not Met,,283660,248690,to 20m,CLONDOOGAN,,Meath,43,,,,,,,,,,,,,,,Co. Co. Hand Pump.  O.D. measured. Geoex well survey,,,1to50m
2623NEW167,,,Dug well,2.4,,Bedrock Not Met,,283650,248720,to 20m,SUMMERHILL,,Meath,43,,,,,,,,,,,,,,,O.D. measured. Geoex well survey,,,1to50m
2623NEW168,,,Dug well,8.2,,Bedrock Not Met,,282500,248700,to 20m,CLONDOOGAN,,Meath,42,,,,,,,,,,,,,,,O.D. measured. Geoex well survey,,,1to50m
2623NEW169,,,Dug well,4.5,,Bedrock Not Met,,282700,248340,to 20m,CLONDOOGAN,,Meath,42,,,,,,,,,,,,,,,Seasonal clean sand.  O.D. measured. GEOEX WELL SURVEY,,,1to50m
2623NEW170,,,Dug well,6.1,,Bedrock Not Met,,282770,248230,to 20m,CLONDOOGAN,,Meath,42,,,,,,,,,,,,,,,O.D. measured. Geoex well survey,,,1to50m
2623NEW171,,,Dug well,5.2,,Bedrock Not Met,,282900,248350,to 20m,CLONDOOGAN,,Meath,42,,,,,,,,,,,,,,,Low O.D. measured. Geoex well survey,,,1to50m
2623NEW172,,,Dug well,,,,,282850,247990,to 20m,CLONDOOGAN,,Meath,42,,,,,,,,,,,,,,,Enclosed - no info.  O.D. measured. Geoex well survey,,,1to50m
2623NEW173,,,Dug well,6.3,,Bedrock Not Met,,282830,247930,to 20m,CLONDOOGAN,,Meath,42,,,,,,,,,,,,,,,O.D. measured. Geoex well survey,,,1to50m
2623NEW174,,,Dug well,5.5,,Bedrock Not Met,,283000,247950,to 20m,CLONDOOGAN,,Meath,42,,,,,,,,,,,,,,,Sandy Gravel.  O.D. measured. Geoex well survey,,,1to50m
2623NEW175,,,Dug well,4.7,,Bedrock Not Met,,282550,247940,to 20m,CLONDOOGAN,,Meath,42,,,,,,,,,,,,,,,Co. Co. hand pump.  O.D. measured. Geoex well survey,,,1to50m
2623NEW176,,,Dug well,4.5,,Bedrock Not Met,,282600,247930,to 20m,CLONDOOGAN,,Meath,42,,,,,,,,,,,,,,,O.D. measured. Geoex well survey,,,1to50m
2623NEW177,,,Borehole,15.8,,DTB Unknown,,282550,248580,to 20m,CLONDOOGAN,,Meath,42,,,,,,,,,,,,,,,Iron problems (rust in liners?). O.D. measured. Geoex well survey,,,1to50m
2623NEW178,,,Dug well,4.8,,Bedrock Not Met,,282110,247220,to 20m,MOY,,Meath,42,,,,,,,,,,,,,,,O.D. measured. Geoex well survey,,,1to50m
2623NEW179,,,Dug well,3.8,,Bedrock Not Met,,281970,247270,to 20m,MOY,,Meath,42,,,,,,,,,,,,,,,Iron problems - not pottable.  O.D. measured. Geoex well survey,,,1to50m
2623NEW180,,,Dug well,4.1,,Bedrock Not Met,,281960,247390,to 20m,MOY,,Meath,42,,,,,,,,,,,,,,,Geoex well survey,,,1to50m
2623NEW181,,,Dug well,4.3,,Bedrock Not Met,,281820,247120,to 20m,MOY,,Meath,42,,,,,,,,,,,,,,,Dug in old gravel pit - no iron.  O.D. measured. Geoex well survey,,,1to50m
2623NEW182,,,Dug well,6.4,,Bedrock Not Met,,281740,247230,to 20m,MOY,,Meath,42,,,,,,,,,,,,,,,Dry - Co. Co. Hand Pump.  O.D. measured. Geoex well survey,,DRY,1to50m
2623NEW183,,Meath Co. Co.,Borehole,,,,01/09/1977,281700,247250,to 20m,MOY,,Meath,42,,,,,,,,,,,,,,,Co. Co. hand pump,,,1to50m
2623NEW184,,,Dug well,5.8,,Bedrock Not Met,01/09/1977,281710,247110,to 20m,MOY,,Meath,42,,,,,,,,,,,,,,,O.D. measured.,,,1to50m
2623NEW185,,,Dug well,3.0,,Bedrock Not Met,,281080,247950,to 20m,ISAACSTOWN,,Meath,42,,,,,,,,,,,,,,,Boulder clay with sand at base.  O.D. measured. Geoex well survey,,,1to50m
2623NEW186,,,Dug well,5.4,,Bedrock Not Met,,280900,247300,to 20m,ISAACSTOWN,,Meath,42,,,,,,,,,,,,,,,Boulder clay withsand at base.  O.D. measured. Geoex well survey,,,1to50m
2623NEW187,,,Dug well,4.2,,Bedrock Not Met,,280860,247680,to 20m,ISAACSTOWN,,Meath,42,,,,,,,,,,,,,,,Geoex well survey,,,1to50m
2623NEW188,,Meath Co. Co.,Unknown,,,,,280710,247690,to 20m,ISAACSTOWN,,Meath,42,,,,,,,,,,,,,,,Co. Co. hand pump enclosed. Geoex well survey,,,1to50m
2623NEW189,,Meath Co. Co.,Unknown,,,,,280690,247790,to 20m,ISAACSTOWN,,Meath,42,,,,,,,,,,,,,,,hand pump - enclosed. Geoex well survey,,,1to50m
2623NEW190,,,Dug well,,,,,280700,247900,to 20m,ISAACSTOWN,,Meath,42,,,,,,,,,,,,,,,Enclosed - no information. Geoex well survey,,,1to50m
2623NEW191,,,Dug well,3.0,,Bedrock Not Met,,280680,248060,to 20m,ISAACSTOWN,,Meath,42,,,,,,,,,,,,,,,O.D. measured. Geoex well survey,,,1to50m
2623NEW192,,,Dug well,5.5,,Bedrock Not Met,,280650,248300,to 20m,KILL BEG,,Meath,42,,,,,,,,,,,,,,,O.D. measured. Geoex well survey,,,1to50m
2623NEW193,,,Dug well,5.1,,Bedrock Not Met,,280830,247450,to 20m,ISAACSTOWN,,Meath,42,,,,,,,,,,,,,,,Boulder clay on gravel.  O.D. measured. Geoex well survey,,,1to50m
2623NEW194,,,Unknown,,,,,280820,246350,to 20m,RAHINSTOWN,,Meath,42,,,,,,,,,,,,,,,Geoex well survey,,,1to50m
2623NEW195,,,Dug well,6.1,,Bedrock Not Met,,282940,246730,to 20m,MOY,,Meath,42,,,,,,,,,,,,,,,Boulder clay on sand.  O.D. measured. Geoex well survey,,,1to50m
2623NEW196,,Meath Co. Co.,Unknown,,,,,283120,246880,to 20m,MOY,,Meath,43,,,,,,,,,,,,,,,Co. Co. pump 1939.,Mpa ref. 1939/,,1to50m
2623NEW197,,,Dug well,,,,,283140,246970,to 20m,MOY,,Meath,43,,,,,,,,,,,,,,,Enclosed - no data. Geoex well survey 1977,,,1to50m
2623NEW198,,,Dug well,4.6,,Bedrock Not Met,,283600,283600,to 20m,CLONDOOGAN,,Meath,43,,,,,,,,,,,,,,,Coarse gravel - traces of iron.  O.D. measured. Geoex well survey,,,1to50m
2623NEW296,,BRIDE'S WELL,Spring,,,,01/01/1982,289270,242470,to 20m,CALGATH,,Meath,49,,Low Spring,,20.0,,,,,,,,,,,Warm & cold spring (13' & 10'c) see Irish Geothermal project,,,1to50m
2623NWW021,,MEATH CO. CO.,Borehole,34.0,,DTB Unknown,,271300,245350,to 20m,LONGWOOD,,Meath,47,,,,,,,,,,,,,,,Supplies approx. 160 connections (Village & surrounds).,,,1to50m
2623NWW022,TW 2,MEATH CO. CO.,Borehole,88.3,12.0,Bedrock Met,01/06/1985,273030,245640,to 20m,CLONGUIFFIN,LONGWOOD,Meath,47,Other,Excellent,II,1047.0,,,39.0,26.9,,,,,,,Trial well No. 2.  Artesian 100m3/d.  1.4km east of Longwood,,,1to50m
2623NWW023,TW 3,MEATH CO. CO.,Borehole,60.1,24.5,Bedrock Met,01/06/1985,272930,246490,to 20m,LONGWOOD,,Meath,47,Other,Good,II,245.0,,,1.5,163.3,152.0,,,,,,Trial well No. 3-artesian. 125mm steel support,,,1to50m
2623NWW100,,,Borehole,13.0,3.0,,01/10/1982,274020,244150,to 20m,BALLYNAKILL,,Meath,48,Other,,,,,,0.2,,,,,,,,12SW OF ST.GORMAN'S SPRING. ADJ BH 12M DEEP WITH CAVITIES.,,,1to50m
2623NWW101,,ST. GORMAN'S SPRING,Spring,,,,01/01/1982,274050,244180,to 20m,BALLYNAKILL,,Meath,48,Other,Intermediate Spring,,1300.0,,,0.7,1857.1,,,,,,,"WARM SPRING, POSSIBLY GOES DRY, 21C, SEE GEOTHERMAL REPORT""""",,,1to50m
2625NEW123,,,Unknown,,,,,284420,261730,to 20m,BALBRADAGH,,Meath,31,,,,,,,,,,,,,,,Site plan,,,1to50m
2625NEW139,BH 1,MEATH CO CO - Dunshaughlin STP,Borehole,6.0,2.3,Bedrock Met,05/03/2002,289790,262900,to 20m,DOWDSTOWN,,Meath,31,,,,,,,,,200.0,,,,,,Drilled by Glover SI Ltd: Shell/auger,,,1to50m
2625NEW140,BH 2,Meath Co Co - Dunshaughlin STP,Borehole,6.0,0.7,Bedrock Met,06/03/2002,289880,262780,to 20m,DOWDSTOWN,,Meath,31,,,,,,,,,200.0,,,,,,Drilled by Glover SI Ltd: Shell/auger,,,1to50m
2625NEW141,BH 3,,Borehole,6.0,1.7,Bedrock Met,04/03/2002,289940,262720,to 20m,DOWDSTOWN,,Meath,31,,,,,,,,,200.0,,,,,,Drilled by Glover SI Ltd: Shell/auger,,,1to50m
2625NWW026,,"Athboy Well Survey, well no. 1",Dug well,5.6,,Bedrock Not Met,31/08/1995,272440,263240,to 20m,EIGHTYEIGHT ACRES,,Meath,29,Agri & domestic use,,,,,,,,,,,,,,,,,1to50m
2625NWW027,,"Athboy Well Survey, well no. 2",Dug well,3.2,,Bedrock Not Met,31/08/1995,272130,263770,to 20m,EIGHTYEIGHT ACRES,,Meath,29,Domestic use only,,,,,,,,,,,,,,,,,1to50m
2625NWW028,,"Athboy Well Survey, well no. 3",Dug well,4.1,,Bedrock Not Met,31/08/1995,272140,263780,to 20m,EIGHTYEIGHT ACRES,,Meath,29,Agri use only,,,,,,,,,,,,,,Cattle trough only,,,1to50m
2625NWW029,,"Athboy Well Survey, well no. 4",Dug well,2.9,,Bedrock Not Met,,272060,263850,to 20m,EIGHTYEIGHT ACRES,,Meath,29,Other,,,,0.0,,,,,,,,,,Well abandoned &dry.,,,1to50m
2625NWW030,,,Dug well,,,,31/08/1995,273720,263860,to 20m,MITCHELSTOWN,,Meath,30,Domestic use only,,,,,,,,,,,,,,Pre 1832 well,,,1to50m
2625NWW031,,"FAULKNER, well no. 6",Dug well,4.0,,Bedrock Not Met,,272260,262530,to 20m,NEWTOWN,,Meath,29,Domestic use only,,,,,,,,,,,,,,"Heavy cement cover, never gone dry.",,,1to50m
2625NWW032,,MEATH CO. CO. PUMP,Dug well,4.9,,Bedrock Not Met,31/08/1995,272220,262560,to 20m,OTTERSTOWN,,Meath,29,Public supply (Co Co),,,,,,,,,,,,,,,,,1to50m
2625NWW033,,MEATH CO. CO. HAND PUMP,Dug well,9.7,,Bedrock Not Met,31/08/1995,271780,263150,to 20m,OTTERSTOWN,,Meath,29,Public supply (Co Co),,,,,,,,,,,,,,Working,,,1to50m
2625NWW034,,ST. ANNE'S WELL,Dug well,0.0,0.0,,31/08/1995,271700,263670,to 20m,TOWN PARKS,Athboy,Meath,29,,,,,,,,,,,,,,,Overgrown and dry,,,1to50m
2625NWW061,,,Dug well,6.8,5.5,Bedrock Met,29/05/1905,273020,262910,to 20m,FORDRATH,Athboy,Meath,29,Domestic use only,,,,,,,,,,,,,,WELL SURVEY 1995. WELL ALMOST DRY. HIGH IN Mg,,Date Nov-1967,1to50m
2625NWW062,,,Borehole,,,,25/10/1995,272680,264450,to 20m,MULLAGHSTONES,Hill of Ward,Meath,29,Domestic use only,,,,,,,,,,,,,,"WELL SURVEY 1995, WELL LOCATED BEHIND QUARRY",,,1to50m
2625NWW063,,,Borehole,36.6,,DTB Unknown,25/10/1995,272870,264450,to 20m,MULLAGHSTONES,Hill of Ward,Meath,29,Domestic use only,,,,,,,,,,,,,,WELL SURVEY 1995,,,1to50m
2625NWW064,,,Borehole,,,,25/10/1995,273130,264350,to 20m,WARDSTOWN,Hill of Ward,Meath,30,Domestic use only,,,,,,,,,,,,,,WELL SURVEY 1995,,,1to50m
2625NWW065,,,Dug well,,,,,274350,262380,to 20m,MITCHELSTOWN,,Meath,30,Agri & domestic use,,,,,,,,,,,,,,"WELL SURVEY 1995. BOREHOLE ALSO ON SITE, NO ACCESS",,,1to50m
2625NWW066,,,Borehole,,,,,274500,262400,to 20m,MITCHELSTOWN,,Meath,30,Agri & domestic use,,,,,,,,,,,,,,WELL SURVEY 1995,,,1to50m
2625NWW067,,MEATH CO. CO.,Borehole,99.1,8.8,,01/05/1996,271740,264420,to 20m,ATHBOY,,Meath,29,,Poor,,38.0,,,,,,,,,,,"Grouted in 8 casing with cement and bentinite pellets.""",,,1to50m
2625NWW068,,MEATH CO. CO.,Borehole,121.9,1.2,,01/05/1996,273530,264370,to 20m,ATHBOY,,Meath,29,,Poor,,,0.0,,,,,,,,,,"grouted in 8 casing.""",,,1to50m
2625NWW069,,MEATH CO. CO.,Borehole,54.8,10.0,Bedrock Met,01/06/1995,272480,263280,to 20m,TOWN PARKS,,Meath,29,Other,,,,,,,,,,,,,,Observation well. Core stored in Sandyford D/H 104.,,,1to50m
2625SEW005,,CO. CO. GROUP SCHEME,Borehole,36.0,,DTB Unknown,,289060,257300,to 20m,KILMESSAN,,Meath,37,Public supply (Co Co),Good,,327.0,,,,,,,,,,,"Well is 16yrs old, taken over in 1993 by Co. Co.",,,1to50m
2625SEW019,,COUNCIL GROUP SCHEME,Borehole,37.5,,DTB Unknown,01/01/1992,288800,257250,to 20m,KILMESSAN,,Meath,37,Public supply (Co Co),,,,,,,,,,,,,,"Information from MScThesis, Well is 21yrs old, Serves 30hous",,,1to50m
2625SEW023,BH 1,,Borehole,14.2,14.0,Bedrock Met,06/11/1985,285630,251450,to 20m,BASKETSTOWN,,Meath,43,Other,,,,,,,,,,,,,,BH1. completed piezometer installed at depth 5.0m,,,1to50m
2625SEW024,BH 2,,Borehole,12.7,12.3,Bedrock Met,06/11/1985,285370,251430,to 20m,BASKETSTOWN,,Meath,43,Other,,,,,,,,,,,,,,"BH2. 2 piezometers installed 3.5+12.7m,SWL=1.0+2.2respective",,,1to50m
2625SEW025,BH 3,,Borehole,13.0,12.4,Bedrock Met,06/11/1985,285330,251550,to 20m,BASKETSTOWN,,Meath,43,Other,,,,,,,,,,,,,,"BH3. 2piezometers installed 4+12.2m,SWL=1.4+2.8m respectivel",,,1to50m
2625SEW026,BH 4,,Borehole,15.5,15.5,Bedrock Met,06/11/1985,285320,251350,to 20m,BASKETSTOWN,,Meath,43,Other,,,,,,,,,,,,,,"BH4. 2piezometers 6m+15.5m, SWL= 5.4m+6.4m respectively.",,,1to50m
2625SEW027,BH 5,,Borehole,10.0,10.0,Bedrock Presumed,06/11/1985,285380,251170,to 20m,BASKETSTOWN,,Meath,43,Other,,,,,,,,,,,,,,BH5. piezometer 7.5m deep,,,1to50m
2625SEW028,BH 6,,Borehole,8.9,,Bedrock Not Met,06/11/1985,285430,251000,to 20m,BASKETSTOWN,,Meath,43,Other,,,,,,,,,,,,,,"BH6. piezometers 6m+8.9m, SWL= 0.7m+ ?m respectively",,,1to50m
2625SEW029,BH 7,,Borehole,6.2,,Bedrock Not Met,27/05/1993,285800,251240,to 20m,BASKETSTOWN,,Meath,43,Other,,,,,,,,,,,,,,BH7.,,,1to50m
2625SEW030,BH 8,,Borehole,6.2,,Bedrock Not Met,27/05/1993,285740,251400,to 20m,BASKETSTOWN,,Meath,43,Other,,,,,,,,,,,,,,BH8.,,,1to50m
2625SEW031,BH 9,,Borehole,6.1,,Bedrock Not Met,27/05/1993,285560,251320,to 20m,BASKETSTOWN,,Meath,43,Other,,,,,,,,,,,,,,BH9.,,,1to50m
2625SEW032,BH 10,,Borehole,6.1,,Bedrock Not Met,27/05/1993,285640,251140,to 20m,BASKETSTOWN,,Meath,43,Other,,,,,,,,,,,,,,BH10.,,,1to50m
2625SEW033,BH 11,,Borehole,7.0,,Bedrock Not Met,27/05/1993,285610,251600,to 20m,BASKETSTOWN,,Meath,43,Other,,,,,,,,,,,,,,BH11.,,,1to50m
2625SEW034,BH 12,,Borehole,12.0,,Bedrock Not Met,27/05/1993,285440,251540,to 20m,BASKETSTOWN,,Meath,43,Other,,,,,,,,,,,,,,BH12.,,,1to50m
2625SEW035,BH13,,Borehole,42.6,18.2,,27/05/1993,285570,251580,to 20m,BASKETSTOWN,,Meath,43,Other,Poor,,,3.0,,,,,,,,,,BH13.,,,1to50m
2625SEW036,BH14,,Borehole,36.6,30.0,Bedrock Met,27/05/1993,285540,251310,to 20m,BASKETSTOWN,,Meath,43,Other,Poor,,,6.0,,,,,,,,,,"BH14. Inflows at 10m, 18m & 36m.",,,1to50m
2625SEW037,BH 15,,Borehole,42.7,,Bedrock Not Met,27/05/1993,285780,251220,to 20m,BASKETSTOWN,,Meath,43,Other,Poor,,25.0,,,,,,,,,,,BH15.,,,1to50m
2625SEW038,,,Borehole,61.0,4.6,Bedrock Met,,285580,252870,to 20m,WINDTOWN,,Meath,37,Industrial use,,,,,,,,,,,,,,Well located behind washing plant,,,1to50m
